Plant_ID,Experiment,Plant,Geno,Treatment,Rep,Day
TaGNE_p1_Spring32_tHighN_r1_d17,TaGNE,p1,Spring32,tHighN,r1,d17
TaGNE_p2_MN106_tHighN_r1_d17,TaGNE,p2,MN106,tHighN,r1,d17
TaGNE_p3_ISU89_tHighN_r1_d17,TaGNE,p3,ISU89,tHighN,r1,d17
